
100,0.013743877410888672,1,2,0,10
200,0.016548871994018555,1,2,0,10
300,0.01578998565673828,1,2,0,10
400,0.013895034790039062,1,2,0,10
500,0.013818025588989258,1,2,0,10
600,0.017069101333618164,1,2,0,10
700,0.020389795303344727,1,2,0,10
800,0.020385026931762695,1,2,0,10
900,0.0225222110748291,1,2,0,10
1000,0.022372007369995117,1,2,0,10
1100,0.02146315574645996,1,2,0,10
1200,0.024302005767822266,1,2,0,10
1300,0.04372382164001465,1,2,0,10
1400,0.041584014892578125,1,2,0,10
1500,0.04172682762145996,1,2,0,10
1600,0.05333304405212402,1,2,0,10
1700,0.04198598861694336,1,2,0,10
1800,0.06341385841369629,1,2,0,10
1900,0.11741995811462402,1,2,0,10
2000,0.07467222213745117,1,2,0,10
2100,0.05258798599243164,1,2,0,10
2200,0.05344200134277344,1,2,0,10
2300,0.08213090896606445,1,2,0,10
2400,0.08369588851928711,1,2,0,10
2500,0.12149405479431152,1,2,0,10
2600,0.06474900245666504,1,2,0,10
2700,0.08097100257873535,1,2,0,10
2800,0.10532593727111816,1,2,0,10
2900,0.09682393074035645,1,2,0,10
3000,0.10290002822875977,1,2,0,10
100,0.421673059463501,1,2,0,10
200,0.3772909641265869,1,2,0,10
300,0.3989582061767578,1,2,0,10
400,0.4477219581604004,1,2,0,10
500,0.40633177757263184,1,2,0,10
600,0.45163798332214355,1,2,0,10
700,0.40822696685791016,1,2,0,10
800,0.48068904876708984,1,2,0,10
900,0.3722207546234131,1,2,0,10
1000,0.3878672122955322,1,2,0,10
1100,0.3479628562927246,1,2,0,10
1200,0.35379672050476074,1,2,0,10
1300,0.36763691902160645,1,2,0,10
1400,0.3463749885559082,1,2,0,10
1500,0.3762381076812744,1,2,0,10
1600,0.34148263931274414,1,2,0,10
1700,0.34084606170654297,1,2,0,10
1800,0.33962512016296387,1,2,0,10
1900,0.3994600772857666,1,2,0,10
2000,0.34858083724975586,1,2,0,10
2100,0.36742115020751953,1,2,0,10
2200,0.3801701068878174,1,2,0,10
2300,0.3533189296722412,1,2,0,10
2400,0.3825521469116211,1,2,0,10
2500,0.3379249572753906,1,2,0,10
2600,0.3653719425201416,1,2,0,10
2700,0.3873322010040283,1,2,0,10
2800,0.4466559886932373,1,2,0,10
2900,0.39356398582458496,1,2,0,10
3000,0.3843536376953125,1,2,0,10
100,0.35127902030944824,1,2,0,10
200,0.33502697944641113,1,2,0,10
300,0.33603405952453613,1,2,0,10
400,0.3597848415374756,1,2,0,10
500,0.33499908447265625,1,2,0,10
600,0.33281993865966797,1,2,0,10
700,0.3513200283050537,1,2,0,10
800,0.3599071502685547,1,2,0,10
900,0.4656968116760254,1,2,0,10
1000,0.5236821174621582,1,2,0,10
1100,0.47530603408813477,1,2,0,10
1200,0.4163320064544678,1,2,0,10
1300,0.43840885162353516,1,2,0,10
1400,0.4943962097167969,1,2,0,10
1500,0.4195132255554199,1,2,0,10
1600,0.4895968437194824,1,2,0,10
1700,0.40460801124572754,1,2,0,10
1800,0.4151310920715332,1,2,0,10
1900,0.4124429225921631,1,2,0,10
2000,0.3877429962158203,1,2,0,10
2100,0.405548095703125,1,2,0,10
2200,0.37395286560058594,1,2,0,10
2300,0.37558984756469727,1,2,0,10
2400,0.33330702781677246,1,2,0,10
